prediction,actual,lower_bound,upper_bound
5575.98,7197.2,3903.19,7248.77
5791.51,7776.75,4054.06,7528.96
8343.51,10440.95,5840.46,10846.56
11590.49,14318.95,8113.34,15067.64
6826.79,9172.25,4778.75,8874.83
4850.9,4776.5,3395.63,6306.17
5401.71,5538.65,3781.2,7022.22
4990.87,5479.0,3493.61,6488.13
5577.01,5032.51,0.11,3903.91,7250.11
8508.2,11167.83,2659.63
11864.14,15207.05,8304.9,15423.38
6576.47,7020.45,4603.53,8549.41
4005.78,4677.85,2804.05,5207.51
5121.3,6412.15,3584.91,6657.69
5994.31,6575.4
5883.09,9108.45,4118.16,7648.02
9255.08,15499.7,6478.56,12031.6
13187.6,18287.9,9231.32,17143.88
7577.31,10731.45,5304.12,9850.5
4631.82,6484.5,3242.27,6021.37
5962.9,8029.5,4174.03,7751.77
2023-03-22,revenue,8447.16,2472.15,4182.51,7767.51
6607.24,6680.25,4625.07,8589.41
11315.8,12185.21,7921.06,14710.54
15375.12,16336.51,10762.58,19987.66
7961.58,12563.2,5573.11,10350.05
5564.22,5379.5,3894.95,7233.49
6291.9,5616.85,4404.33,8179.47
6614.55,7625.4,4630.18,8598.91
6917.58,7348.55,4842.31,8992.85